TierID_TVD;Rasse;ebv_LBEB_FUGLIEDERSTAERKE;rel_LBEB_FUGLIEDERSTAERKE;nDau_LBEB_FUGLIEDERSTAERKE;nHerd_LBEB_FUGLIEDERSTAERKE;ebv_LBEB_FUSTELLUNGVORNE;rel_LBEB_FUSTELLUNGVORNE;nDau_LBEB_FUSTELLUNGVORNE;nHerd_LBEB_FUSTELLUNGVORNE;ebv_LBEB_FUSPRUNGGELENKWINKELUNG;rel_LBEB_FUSPRUNGGELENKWINKELUNG;nDau_LBEB_FUSPRUNGGELENKWINKELUNG;nHerd_LBEB_FUSPRUNGGELENKWINKELUNG;ebv_LBEB_FUFESSELN;rel_LBEB_FUFESSELN;nDau_LBEB_FUFESSELN;nHerd_LBEB_FUFESSELN;ebv_LBEB_FUKLAUEN;rel_LBEB_FUKLAUEN;nDau_LBEB_FUKLAUEN;nHerd_LBEB_FUKLAUEN;ebv_LBEB_FOEUTERLAENGE;rel_LBEB_FOEUTERLAENGE;nDau_LBEB_FOEUTERLAENGE;nHerd_LBEB_FOEUTERLAENGE;ebv_LBEB_FOEUTERTIEFE;rel_LBEB_FOEUTERTIEFE;nDau_LBEB_FOEUTERTIEFE;nHerd_LBEB_FOEUTERTIEFE;ebv_LBEB_FOZITZENLAENGE;rel_LBEB_FOZITZENLAENGE;nDau_LBEB_FOZITZENLAENGE;nHerd_LBEB_FOZITZENLAENGE;ebv_LBEB_FOZITZENDICKE;rel_LBEB_FOZITZENDICKE;nDau_LBEB_FOZITZENDICKE;nHerd_LBEB_FOZITZENDICKE;ebv_LBEB_BEKONDITION;rel_LBEB_BEKONDITION;nDau_LBEB_BEKONDITION;nHerd_LBEB_BEKONDITION;ebv_LBEB_BESCHULTER;rel_LBEB_BESCHULTER;nDau_LBEB_BESCHULTER;nHerd_LBEB_BESCHULTER;ebv_LBEB_BELENDEN;rel_LBEB_BELENDEN;nDau_LBEB_BELENDEN;nHerd_LBEB_BELENDEN;ebv_LBEB_BESTOTZENRUNDUNG;rel_LBEB_BESTOTZENRUNDUNG;nDau_LBEB_BESTOTZENRUNDUNG;nHerd_LBEB_BESTOTZENRUNDUNG;ebv_LBEB_BESTOTZENLAENGE;rel_LBEB_BESTOTZENLAENGE;nDau_LBEB_BESTOTZENLAENGE;nHerd_LBEB_BESTOTZENLAENGE
AU000000010233;AN;104.81;0.213;3;1;77.949;0.178;3;1;93.196;0.216;3;1;98.737;0.216;3;1;90.83;0.135;3;1;146.611;0.171;3;1;84.867;0.181;3;1;113.728;0.267;3;1;105.266;0.222;3;1;110.838;0.19;3;1;113.425;0.223;3;1;98.473;0.212;3;1;69.647;0.221;3;1;112.78;0.184;3;1
AU000002601682;SI;106.189;0.107;2;2;101.662;0.086;2;2;104.935;0.109;2;2;112.983;0.109;2;2;104.421;0.064;2;2;109.782;0.082;2;2;100.55;0.089;2;2;100.886;0.144;2;2;107.804;0.115;2;2;98.986;0.093;2;2;84.785;0.111;2;2;84.718;0.105;2;2;60.433;0.11;2;2;95.925;0.09;2;2
AU038225302192;AN;106.413;0.321;6;2;89.192;0.273;6;2;97.841;0.321;6;2;102.049;0.322;6;2;94.837;0.199;6;2;141.575;0.262;6;2;83.337;0.276;6;2;96.683;0.39;6;2;92.34;0.33;6;2;114.67;0.285;6;2;103.145;0.33;6;2;97.277;0.316;6;2;65.115;0.329;6;2;108.523;0.274;6;2
AU038227700699;AN;115.589;0.293;5;2;86.404;0.25;5;2;99.309;0.295;5;2;102.479;0.295;5;2;99.682;0.183;5;2;139.989;0.239;5;2;82.48;0.253;5;2;104.277;0.359;5;2;105.274;0.304;5;2;126.166;0.262;5;2;113.561;0.305;5;2;106.246;0.291;5;2;75.379;0.303;5;2;119.597;0.252;5;2
CA000001034058;LM;107.209;0.107;1;1;86.988;0.09;1;1;91.987;0.111;1;1;116.901;0.111;1;1;77.075;0.069;1;1;92.054;0.087;1;1;108.872;0.092;1;1;99.475;0.137;1;1;104.956;0.115;1;1;112.788;0.098;1;1;110.215;0.117;1;1;90.928;0.11;1;1;92.183;0.115;1;1;110.008;0.096;1;1
CA000001169712;LM;110.518;0.414;8;4;89.353;0.36;8;4;84.971;0.412;8;4;106.633;0.413;8;4;84.993;0.259;8;4;94.792;0.347;8;4;106.186;0.363;8;4;101.049;0.488;8;4;113.958;0.422;8;4;113.974;0.372;8;4;115.154;0.425;8;4;93.888;0.409;8;4;97.423;0.424;8;4;115.746;0.356;8;4
CA000001661292;CH;113.355;0.26;5;3;94.703;0.219;5;3;98.583;0.262;5;3;95.909;0.262;5;3;106.868;0.158;5;3;113.168;0.21;5;3;92.921;0.222;5;3;104.602;0.322;5;3;95.188;0.27;5;3;113.035;0.23;5;3;112.471;0.269;5;3;116.84;0.257;5;3;73.708;0.268;5;3;115.282;0.221;5;3
CA000001829647;LM;102.381;0.287;4;3;95.391;0.24;4;3;89.446;0.287;4;3;117.228;0.288;4;3;77.075;0.171;4;3;85.972;0.229;4;3;108.427;0.244;4;3;105.392;0.36;4;3;112.944;0.299;4;3;116.021;0.251;4;3;114.409;0.294;4;3;93.61;0.281;4;3;96.345;0.294;4;3;113.738;0.241;4;3
CA000001957647;LM;89.031;0.057;1;1;113.49;0.046;1;1;144.879;0.059;1;1;122.711;0.059;1;1;-23.064;0.034;1;1;56.266;0.044;1;1;170.335;0.047;1;1;116.996;0.077;1;1;117.082;0.062;1;1;60.544;0.05;1;1;78.359;0.059;1;1;82.993;0.056;1;1;92.773;0.059;1;1;56.697;0.048;1;1
CA000003613428;SI;92.15;0.126;1;1;131.842;0.105;1;1;95.667;0.13;1;1;135.885;0.129;1;1;119.949;0.079;1;1;116.475;0.101;1;1;73.325;0.107;1;1;108.446;0.162;1;1;113.051;0.134;1;1;43.796;0.113;1;1;62.154;0.134;1;1;68.176;0.127;1;1;100.487;0.132;1;1;115.441;0.11;1;1
